Characteristics,Total population,Total Citizen Population,Reported registered,Reported not registered,No response to registration1 ,Reported voted,Reported not voted,No response to voting2 ,Reported registered percent,Reported voted percent
Total,"252,274","231,593","168,308","25,782","37,503","154,628","40,561","36,404",66.7,61.3
Less than 9th grade,"8,685","4,792","2,196","1,578","1,017","1,800","2,035",956,25.3,20.7
"9th to 12th grade, no diploma","15,025","12,738","6,435","3,534","2,770","5,283","4,870","2,585",42.8,35.2
High school graduate,"73,329","67,539","42,801","11,830","12,908","37,456","17,769","12,314",58.4,51.1
Some college or associate's degree,"68,797","66,049","50,184","5,844","10,021","45,955","10,217","9,876",72.9,66.8
Bachelor's degree,"55,097","51,762","42,224","2,273","7,265","40,312","4,284","7,166",76.6,73.2
Advanced degree,"31,342","28,713","24,468",723,"3,522","23,821","1,386","3,506",78.1,76.0
Total,"121,870","111,485","79,340","13,698","18,447","72,474","21,147","17,863",65.1,59.5
Less than 9th grade,"4,358","2,403","1,050",806,547,889,"1,007",507,24.1,20.4
"9th to 12th grade, no diploma","7,971","6,770","3,255","2,056","1,459","2,663","2,750","1,357",40.8,33.4
High school graduate,"37,483","34,460","21,214","6,638","6,609","18,374","9,738","6,348",56.6,49.0
Some college or associate's degree,"31,870","30,656","23,209","2,701","4,746","21,113","4,901","4,642",72.8,66.2
Bachelor's degree,"25,593","23,974","19,456","1,128","3,390","18,521","2,121","3,332",76.0,72.4
Advanced degree,"14,596","13,222","11,156",369,"1,697","10,914",630,"1,677",76.4,74.8
Total,"130,404","120,108","88,968","12,084","19,055","82,154","19,414","18,541",68.2,63.0
Less than 9th grade,"4,327","2,389","1,146",772,470,912,"1,028",449,26.5,21.1
"9th to 12th grade, no diploma","7,054","5,968","3,179","1,478","1,311","2,620","2,120","1,228",45.1,37.1
High school graduate,"35,846","33,079","21,587","5,192","6,299","19,082","8,030","5,966",60.2,53.2
Some college or associate's degree,"36,928","35,393","26,975","3,143","5,275","24,842","5,316","5,234",73.0,67.3
Bachelor's degree,"29,504","27,788","22,768","1,145","3,875","21,790","2,163","3,835",77.2,73.9
Advanced degree,"16,746","15,491","13,313",354,"1,825","12,907",756,"1,828",79.5,77.1
