Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,
"Table 4a. Reported Voting and Registration of the Total Voting-Age Population, for States: November 2022",,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,
Characteristic,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,Total registered,"Percent registered
(Total)",Margin of error1,"Percent registered
(Citizen)",Margin of error1,Total voted,"Percent voted
(Total)",Margin of error1,"Percent voted
(Citizen)",Margin of error1
UNITED STATES,"255,457","233,546","161,422",63.2,0.5,69.1,0.5,"121,916",47.7,0.5,52.2,0.5
ALABAMA,"3,857","3,716","2,499",64.8,3.0,67.3,2.7,"1,688",43.8,3.3,45.4,3.0
ALASKA,531,516,373,70.2,2.9,72.2,2.9,282,53.1,2.8,54.6,2.7
ARIZONA,"5,731","5,093","3,560",62.1,3.2,69.9,3.3,"2,844",49.6,3.1,55.8,3.3
ARKANSAS,"2,277","2,188","1,360",59.8,3.0,62.2,2.8,961,42.2,3.0,43.9,2.8
CALIFORNIA,"29,870","25,315","17,032",57.0,1.7,67.3,1.6,"13,044",43.7,1.6,51.5,1.6
COLORADO,"4,571","4,384","3,162",69.2,3.7,72.1,3.5,"2,687",58.8,4.4,61.3,4.1
CONNECTICUT,"2,839","2,527","1,778",62.6,4.1,70.4,3.8,"1,253",44.1,4.1,49.6,4.2
DELAWARE,798,754,578,72.4,4.5,76.6,4.0,409,51.2,3.9,54.2,3.9
DISTRICT OF COLUMBIA,512,476,393,76.7,2.5,82.4,2.5,300,58.6,2.9,62.9,3.0
FLORIDA,"17,520","15,449","9,770",55.8,1.8,63.2,1.9,"7,575",43.2,1.9,49.0,2.1
GEORGIA,"8,314","7,601","5,275",63.4,3.7,69.4,3.6,"4,323",52.0,3.6,56.9,3.6
HAWAII,"1,079","1,019",651,60.3,4.0,63.9,4.0,509,47.2,3.6,50.0,3.7
IDAHO,"1,489","1,417",917,61.6,4.2,64.7,4.0,685,46.0,2.4,48.3,2.4
ILLINOIS,"9,648","8,824","6,110",63.3,2.7,69.2,2.6,"4,600",47.7,2.7,52.1,2.8
INDIANA,"5,199","4,903","3,259",62.7,3.5,66.5,3.2,"2,056",39.5,2.9,41.9,2.8
IOWA,"2,422","2,345","1,732",71.5,3.8,73.9,3.7,"1,215",50.2,3.8,51.8,3.7
KANSAS,"2,173","2,087","1,587",73.0,3.8,76.1,3.4,"1,239",57.0,4.3,59.4,4.0
KENTUCKY,"3,431","3,233","2,321",67.6,4.7,71.8,4.6,"1,690",49.3,5.9,52.3,6.0
LOUISIANA,"3,437","3,263","2,215",64.4,3.3,67.9,3.3,"1,574",45.8,3.8,48.2,3.8
MAINE,"1,150","1,131",856,74.4,2.8,75.6,2.8,722,62.7,3.5,63.8,3.6
MARYLAND,"4,716","4,364","3,301",70.0,3.5,75.6,3.4,"2,525",53.5,3.4,57.9,3.7
MASSACHUSETTS,"5,518","4,892","3,618",65.6,2.7,74.0,2.3,"2,776",50.3,2.8,56.7,2.8
MICHIGAN,"7,777","7,517","5,797",74.5,2.9,77.1,2.7,"4,757",61.2,3.0,63.3,2.9
MINNESOTA,"4,380","4,210","3,255",74.3,3.9,77.3,3.7,"2,680",61.2,4.2,63.7,4.0
MISSISSIPPI,"2,198","2,166","1,572",71.5,2.7,72.6,2.6,"1,005",45.7,2.6,46.4,2.6
MISSOURI,"4,744","4,655","3,532",74.5,3.8,75.9,3.9,"2,460",51.9,3.2,52.9,3.2
MONTANA,886,878,613,69.1,3.6,69.8,3.6,496,56.0,3.6,56.5,3.6
NEBRASKA,"1,460","1,351",933,63.9,4.0,69.1,3.8,659,45.1,3.2,48.8,3.3
NEVADA,"2,451","2,206","1,436",58.6,3.4,65.1,3.4,"1,123",45.8,3.5,50.9,3.5
NEW HAMPSHIRE,"1,143","1,106",804,70.3,3.3,72.6,3.3,654,57.2,3.3,59.1,3.3
NEW JERSEY,"7,163","6,241","4,402",61.5,3.1,70.5,3.3,"3,151",44.0,3.1,50.5,3.3
NEW MEXICO,"1,625","1,511","1,026",63.1,3.1,67.9,3.4,818,50.3,2.9,54.1,3.2
NEW YORK,"15,238","13,516","8,897",58.4,2.5,65.8,2.5,"6,631",43.5,2.4,49.1,2.5
NORTH CAROLINA,"8,175","7,533","4,583",56.1,3.3,60.8,3.2,"3,439",42.1,2.8,45.7,2.7
NORTH DAKOTA,575,554,418,72.8,2.7,75.6,2.7,288,50.0,2.9,52.0,3.0
OHIO,"9,024","8,708","5,890",65.3,2.8,67.6,2.9,"4,162",46.1,2.6,47.8,2.7
OKLAHOMA,"2,999","2,841","1,936",64.6,3.0,68.1,2.9,"1,335",44.5,2.8,47.0,2.7
OREGON,"3,345","3,122","2,581",77.2,2.6,82.7,2.3,"2,185",65.3,3.3,70.0,3.2
PENNSYLVANIA,"10,124","9,741","7,009",69.2,2.3,72.0,2.2,"5,843",57.7,2.4,60.0,2.4
RHODE ISLAND,880,843,626,71.2,3.4,74.3,3.5,458,52.1,3.6,54.4,3.7
SOUTH CAROLINA,"4,045","3,868","2,491",61.6,3.8,64.4,3.9,"1,736",42.9,3.4,44.9,3.5
SOUTH DAKOTA,676,658,460,68.1,4.2,70.0,4.4,351,52.0,3.9,53.4,4.0
TENNESSEE,"5,391","5,145","3,467",64.3,2.7,67.4,2.6,"2,291",42.5,2.7,44.5,2.7
TEXAS,"22,057","19,029","12,416",56.3,2.0,65.2,2.0,"8,935",40.5,2.0,47.0,2.1
UTAH,"2,455","2,278","1,536",62.6,3.3,67.4,3.3,"1,204",49.0,3.1,52.8,3.2
VERMONT,528,521,393,74.5,3.2,75.4,3.1,324,61.4,3.4,62.2,3.4
VIRGINIA,"6,583","6,043","4,487",68.2,3.1,74.3,2.7,"3,216",48.8,3.2,53.2,3.2
WASHINGTON,"6,016","5,511","4,140",68.8,2.6,75.1,2.6,"3,292",54.7,2.8,59.7,2.8
WEST VIRGINIA,"1,406","1,400",877,62.3,5.0,62.6,5.1,538,38.2,5.2,38.4,5.3
WISCONSIN,"4,591","4,461","3,225",70.2,3.4,72.3,3.2,"2,715",59.1,3.1,60.9,2.9
WYOMING,440,437,274,62.3,3.5,62.8,3.5,214,48.6,3.5,49.0,3.5
,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www.census.gov/programs-surveys/cps/technical-documentation/complete.22.html>",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2022",,,,,,,,,,,,
